标题	小区	年限	户型	面积	楼层	单价	装修	总价	地址1	地址2	地址3	发布日期	url
橡树湾3房 新装修一天未住 装修是用的红星美凯龙的建材	橡树湾	2011	3室2厅1卫	85	高层(共15层)	18588	精装修	158	邗江	汽车西站	兴城西路	2018年6月23日	https://yangzhou.anjuke.com/prop/view/A1294566378?from=filter&spread=commsearch_p&position=115&kwtype=filter&now_time=1531915929
润扬广场邗实本部93平实际120平158万10平车库	润扬广场住宅区	2009	3室2厅1卫	93	高层(共9层)	16989	精装修	158	邗江	汽车西站	邗江中路	2018年7月16日	https://yangzhou.anjuke.com/prop/view/A1326297303?from=filter&spread=commsearch_p&position=114&kwtype=filter&now_time=1531915929
大润发水街旁 橡树湾豪装三房中间楼层位置好有产权车位不沿街	橡树湾	2012	3室2厅1卫	85	中层(共11层)	18352	精装修	156	邗江	汽车西站	兴城西路	2018年6月17日	https://yangzhou.anjuke.com/prop/view/A1286769486?from=filter&spread=commsearch_p&position=113&kwtype=filter&now_time=1531915929
京华城商圈 橡树湾 精装3房厅通阳台动静分离 随时看房	橡树湾	2013	3室2厅1卫	85	高层(共17层)	17647	精装修	150	邗江	汽车西站	兴城西路	2018年6月21日	https://yangzhou.anjuke.com/prop/view/A1291247063?from=filter&spread=commsearch_p&position=112&kwtype=filter&now_time=1531915929
香榭里8号精装三房 证满两年 送全部家具家电 房东诚售	边城香榭里8号	2017	3室2厅1卫	99	高层(共17层)	15959	精装修	158	邗江	汽车西站	西湖路398号	2018年7月6日	https://yangzhou.anjuke.com/prop/view/A1312834608?from=filter&spread=commsearch_p&position=111&kwtype=filter&now_time=1531915929
万达+顺达+振兴双语学校星都芳庭精装3房，电梯房，有车库	星都芳庭	2008	3室2厅1卫	91	中层(共13层)	15714	精装修	143	邗江	汽车西站	邢江中路128号	2018年7月16日	https://yangzhou.anjuke.com/prop/view/A1325867196?from=filter&spread=commsearch_p&position=110&kwtype=filter&now_time=1531915929
邗实本部紫阳西苑两室精装+多层三楼不沿街有车库+靠百祥园	紫阳苑(南区)	2009	2室2厅1卫	87	共5层	16873	精装修	146.8	邗江	汽车西站	紫阳巷	2018年7月5日	https://yangzhou.anjuke.com/prop/view/A1310643638?from=filter&spread=commsearch_p&position=109&kwtype=filter&now_time=1531915929
星联邦！仅靠万达顺达，精装修三房，南北通透，周边教育生活便利	星联邦	2008	3室2厅1卫	93	低层(共9层)	15591	精装修	145	邗江	汽车西站	邗江中路128号	2018年6月28日	https://yangzhou.anjuke.com/prop/view/A1300740501?from=filter&spread=commsearch_p&position=108&kwtype=filter&now_time=1531915929
老牌连锁中介先锋橡树湾精装三房南北通透近大润发预约看房	橡树湾	2013	3室2厅1卫	85	高层(共17层)	17647	精装修	150	邗江	汽车西站	兴城西路	2018年5月26日	https://yangzhou.anjuke.com/prop/view/A1254589523?from=filter&spread=commsearch_p&position=107&kwtype=filter&now_time=1531915929
橡树湾8楼豪装3室1厅南北通透楼层好不沿街西区板块靠湖滨名都	橡树湾	2012	3室2厅1卫	90	中层(共17层)	17555	精装修	158	邗江	汽车西站	兴城西路	2018年7月12日	https://yangzhou.anjuke.com/prop/view/A1320676433?from=filter&spread=commsearch_p&position=106&kwtype=filter&now_time=1531915929
